t,q
657,0.05026096
658,0.05032224
659,0.05038352
660,0.0504448
661,0.05050608
662,0.05056736
663,0.05062864
664,0.05068992
665,0.0507512
666,0.05081248
667,0.05087376
668,0.05093504
669,0.05099632
670,0.0510576
671,0.05111888
672,0.05118016
673,0.05124144
674,0.05130272
675,0.051364
676,0.05142528
677,0.05148656
678,0.05154784
679,0.05160912
680,0.0516704
681,0.05173168
682,0.05179296
683,0.05185424
684,0.05191552
685,0.0519768
686,0.05203808
687,0.05209936
688,0.05216064
689,0.05222192
690,0.0522832
691,0.05234448
692,0.05240576
693,0.05246704
694,0.05252832
695,0.0525896
696,0.05265088
697,0.05271216
698,0.05277344
699,0.05283472
700,0.052896
701,0.05295728
702,0.05301856
703,0.05307984
704,0.05314112
705,0.0532024
706,0.05326368
707,0.05332496
708,0.05338624
709,0.05344752
710,0.0535088
711,0.05357008
712,0.05363136
713,0.05369264
714,0.05375392
715,0.0538152
716,0.05387648
717,0.05393776
718,0.05399904
719,0.05406032
720,0.0541216
721,0.05418288
722,0.05424416
723,0.05430544
724,0.05436672
725,0.054428
726,0.05448928
727,0.05455056
728,0.05461184
729,0.05467312
730,0.0547344
731,0.05479568
732,0.05485696
733,0.05491824
734,0.05497952
735,0.0550408
736,0.05510208
737,0.05516336
738,0.05522464
739,0.05528592
740,0.0553472
741,0.05540848
742,0.05546976
743,0.05553104
744,0.05559232
745,0.0556536
746,0.05571488
747,0.05577616
748,0.05583744
749,0.05589872
750,0.05596
751,0.05602128
752,0.05608256
753,0.05614384
754,0.05620512
755,0.0562664
756,0.05632768
757,0.05638896
758,0.05645024
759,0.05651152
760,0.0565728
761,0.05663408
762,0.05669536
763,0.05675664
764,0.05681792
765,0.0568792
766,0.05694048
767,0.05700176
768,0.05706304
769,0.05712432
770,0.0571856
771,0.05724688
772,0.05730816
773,0.05736944
774,0.05743072
775,0.057492
776,0.05755328
777,0.05761456
778,0.05767584
779,0.05773712
780,0.0577984
781,0.05785968
782,0.05792096
783,0.05798224
784,0.05804352
785,0.0581048
786,0.05816608
787,0.05822736
788,0.05828864
789,0.05834992
790,0.0584112
791,0.05847248
792,0.05853376
793,0.05859504
794,0.05865632
795,0.0587176
796,0.05877888
797,0.05884016
798,0.05890144
799,0.05896272
800,0.059024
801,0.05908528
802,0.05914656
803,0.05920784
804,0.05926912
805,0.0593304
806,0.05939168
807,0.05945296
808,0.05951424
809,0.05957552
810,0.0596368
811,0.05969808
812,0.05975936
813,0.05982064
814,0.05988192
815,0.0599432
816,0.06000448
817,0.06006576
818,0.06012704
819,0.06018832
820,0.0602496
821,0.06031088
822,0.06037216
823,0.06043344
824,0.06049472
825,0.060556
826,0.06061728
827,0.06067856
828,0.06073984
829,0.06080112
830,0.0608624
831,0.06092368
832,0.06098496
833,0.06104624
834,0.06110752
835,0.0611688
836,0.06123008
837,0.06129136
838,0.06135264
839,0.06141392
840,0.0614752
841,0.06153648
842,0.06159776
843,0.06165904
844,0.06172032
845,0.0617816
846,0.06184288
847,0.06190416
848,0.06196544
849,0.06202672
850,0.062088
851,0.06214928
852,0.06221056
853,0.06227184
854,0.06233312
855,0.0623944
856,0.06245568
857,0.06251696
858,0.06257824
859,0.06263952
860,0.0627008
861,0.06276208
862,0.06282336
863,0.06288464
864,0.06294592
865,0.0630072
866,0.06306848
867,0.06312976
868,0.06319104
869,0.06325232
870,0.0633136
871,0.06337488
872,0.06343616
873,0.06349744
874,0.06355872
875,0.06362
876,0.06368128
877,0.06374256
878,0.06380384
879,0.06386512
880,0.0639264
881,0.06398768
882,0.06404896
883,0.06411024
884,0.06417152
885,0.0642328
886,0.06429408
887,0.06435536
888,0.06441664
889,0.06447792
890,0.0645392
891,0.06460048
892,0.06466176
893,0.06472304
894,0.06478432
895,0.0648456
896,0.06490688
897,0.06496816
898,0.06502944
899,0.06509072
900,0.065152
901,0.06521328
902,0.06527456
903,0.06533584
