time,flow
3410,0.243303592258901
3411,0.243409167146627
3412,0.243514742034353
3413,0.24362031692208
3414,0.243725891809806
3415,0.243831466697532
3416,0.243937041585259
3417,0.244042616472985
3418,0.244148191360711
3419,0.244253766248437
3420,0.244359341136164
3421,0.24446491602389
3422,0.244570490911616
3423,0.244676065799343
3424,0.244781640687069
3425,0.244887215574795
3426,0.244992790462521
3427,0.245098365350248
3428,0.245203940237974
3429,0.2453095151257
3430,0.245415090013426
3431,0.245520664901153
3432,0.245626239788879
3433,0.245731814676605
3434,0.245837389564332
3435,0.245942964452058
3436,0.246048539339784
3437,0.24615411422751
3438,0.246259689115237
3439,0.246365264002963
3440,0.246470838890689
3441,0.246576413778416
3442,0.246681988666142
3443,0.246787563553868
3444,0.246893138441594
3445,0.246998713329321
3446,0.247104288217047
3447,0.247209863104773
3448,0.2473154379925
3449,0.247421012880226
3450,0.247526587767952
3451,0.247632162655679
3452,0.247737737543405
3453,0.247843312431131
3454,0.247948887318857
3455,0.248054462206584
3456,0.24816003709431
3457,0.248265611982036
3458,0.248371186869762
3459,0.248476761757489
3460,0.248582336645215
3461,0.248687911532941
3462,0.248793486420668
3463,0.248899061308394
3464,0.24900463619612
3465,0.249110211083846
3466,0.249215785971573
3467,0.249321360859299
3468,0.249426935747025
3469,0.249532510634752
3470,0.249638085522478
3471,0.249743660410204
3472,0.24984923529793
3473,0.249954810185657
3474,0.250060385073383
3475,0.250165959961109
3476,0.250271534848836
3477,0.250377109736562
3478,0.250482684624288
3479,0.250588259512014
3480,0.250693834399741
3481,0.250799409287467
3482,0.250904984175193
3483,0.25101055906292
3484,0.251116133950646
3485,0.251221708838372
3486,0.251327283726098
3487,0.251432858613825
3488,0.251538433501551
3489,0.251644008389277
3490,0.251749583277004
3491,0.25185515816473
3492,0.251960733052456
3493,0.252066307940182
3494,0.252171882827909
3495,0.252277457715635
3496,0.252383032603361
3497,0.252488607491088
3498,0.252594182378814
3499,0.25269975726654
3500,0.252805332154266
3501,0.252910907041993
3502,0.253016481929719
3503,0.253122056817445
3504,0.253227631705172
3505,0.253333206592898
3506,0.253438781480624
3507,0.25354435636835
3508,0.253649931256077
3509,0.253755506143803
3510,0.253861081031529
3511,0.253966655919255
3512,0.254072230806982
3513,0.254177805694708
3514,0.254283380582434
3515,0.254388955470161
3516,0.254494530357887
3517,0.254600105245613
3518,0.254705680133339
3519,0.254811255021066
3520,0.254916829908792
3521,0.255022404796518
3522,0.255127979684245
3523,0.255233554571971
3524,0.255339129459697
3525,0.255444704347423
3526,0.25555027923515
3527,0.255655854122876
3528,0.255761429010602
3529,0.255867003898329
3530,0.255972578786055
3531,0.256078153673781
3532,0.256183728561507
3533,0.256289303449234
3534,0.25639487833696
3535,0.256500453224686
3536,0.256606028112413
3537,0.256711603000139
3538,0.256817177887865
3539,0.256922752775591
3540,0.257028327663318
3541,0.257133902551044
3542,0.25723947743877
3543,0.257345052326497
3544,0.257450627214223
3545,0.257556202101949
3546,0.257661776989675
3547,0.257767351877402
3548,0.257872926765128
3549,0.257978501652854
3550,0.258084076540581
3551,0.258189651428307
3552,0.258295226316033
3553,0.258400801203759
3554,0.258506376091486
3555,0.258611950979212
3556,0.258717525866938
3557,0.258823100754664
3558,0.258928675642391
3559,0.259034250530117
3560,0.259139825417843
3561,0.25924540030557
3562,0.259350975193296
3563,0.259456550081022
3564,0.259562124968748
3565,0.259667699856475
3566,0.259773274744201
3567,0.259878849631927
3568,0.259984424519654
3569,0.26008999940738
3570,0.260195574295106
3571,0.260301149182832
3572,0.260406724070559
3573,0.260512298958285
3574,0.260617873846011
3575,0.260723448733738
3576,0.260829023621464
3577,0.26093459850919
3578,0.261040173396916
3579,0.261145748284643
3580,0.261251323172369
3581,0.261356898060095
3582,0.261462472947822
3583,0.261568047835548
3584,0.261673622723274
3585,0.261779197611
3586,0.261884772498727
3587,0.261990347386453
3588,0.262095922274179
3589,0.262201497161906
3590,0.262307072049632
3591,0.262412646937358
3592,0.262518221825084
3593,0.262623796712811
3594,0.262729371600537
3595,0.262834946488263
3596,0.26294052137599
3597,0.263046096263716
3598,0.263151671151442
3599,0.263257246039168
3600,0.263362820926895
3601,0.263497837177647
3602,0.26378006024353
3603,0.264062283309413
3604,0.264344506375295
